Plot,FT,Direction,PME,TotalRootBiomass,PercentNecro,SRL,SRA,D,RTD,Tips,rN,rC,rC_percent,rN_percent,rAl,rCa,rFe,rK,rMg,rP,BA,BA_ECM,rC_N,rN_P,rC_P
W45,Early secondary,NW,48.7129309047117,4.433,0.111888111888112,49.4404047619048,445.164285714286,0.30955,0.264680655050272,1.59507294115487,14.5,444.9,44.49,1.45,5.53866666666667,7.97333333333334,2.12933333333333,1.496,2.36,0.373333333333333,21.8104481,0,35.7667461023858,85.9180484693883,3073.00902521709
W45,Early secondary,NE,43.8910764793966,2.12,0.171698113207547,25.8628863636364,331.567583732057,0.43145,0.219671828908555,2.10817886671762,17.3,451.4,45.14,1.73,6.9816,6.432,3.1716,3.1572,3.738,0.4776,21.8104481,0,30.4158865685145,80.1299653027044,2437.22393538606
W45,Early secondary,SW,33.728867915884,4.447,0.327861479649202,35.7794652173913,366.157304347826,0.35025,0.296281201152794,1.46718417057523,11.9,446.7,44.67,1.19,4.3092,6.4212,1.8252,1.5636,1.6068,0.5268,21.8104481,0,43.7576529362786,49.9705770690963,2186.59516841508
W45,Early secondary,SE,17.3234984193888,3.611,0.17335918028247,41.469625,384.089583333333,0.32545,0.289636672195682,2.03110035946081,14.1,451.5,45.15,1.41,7.92514285714286,5.00742857142857,3.29142857142857,2.03314285714286,1.212,0.567428571428571,21.8104481,0,37.327050153241,54.9694108761329,2051.84595666753
W46,Early secondary,C,103.506907545165,3.253,0.277589916999693,60.660975,449.069,0.2607,0.312241569864051,2.21854378323681,13.2,447.8,44.78,1.32,6.52352941176471,4.72941176470588,2.83764705882353,2.76823529411765,1.53764705882353,0.531764705882353,14.905325625,0,39.5453283879595,54.9120417193425,2171.51472224473
W46,Early secondary,NW,33.7584130357776,5.096,0.104199372056515,31.0596990740741,339.075694444444,0.36765,0.313026542259263,1.46894652673651,16.8,459.7,45.97,1.68,5.6232,8.484,2.292,2.2392,1.896,0.45,14.905325625,0,31.8970302525673,82.5866666666667,2634.26940512536
W46,Early secondary,NE,60.2310513866511,2.0038,0.153707954885717,56.6384702060932,356.203673835125,0.22825,0.424906630255813,2.97116159174418,24.7,449.1,44.91,2.47,12.2914285714286,3.98448979591837,6.04897959183674,2.17714285714286,0.979591836734694,0.48734693877551,14.905325625,0,21.1948882004538,112.117106365159,2376.30953476793
W46,Early secondary,SW,22.2206986390593,3.1966,0.412313082650316,27.934379539815,267.861019625536,0.3307,0.341774536735111,2.29459263705739,12.6,450.3,45.03,1.26,7.266,6.7524,3.2112,2.79,1.7556,0.4416,14.905325625,0,41.6597280044408,63.1182065217393,2629.48731582378
W46,Early secondary,SE,66.9500531349628,2.3434,0.16215754886063,30.4152187360926,355.167489986649,0.3965,0.248529411764706,1.82968494174685,18.2,409.4,40.94,1.82,15.3888,6.5376,7.4208,3.4728,6.5388,0.4812,14.905325625,0,26.2217382950105,83.6679135494595,2193.91813278349
W59,Early secondary,C,72.0574833508588,5.53,0.15877034358047,25.4214844827586,233.736954022989,0.3222,0.393834059734217,2.92673774309021,18,417.5,41.75,1.8,6.312,4.3128,3.2472,4.4172,1.5192,0.444,14.015508775,0.1134115,27.0376538070125,89.6814671814675,2424.77646255748
W59,Early secondary,NW,80.9498773221171,5.666,0.43328626897282,48.9319041666667,401.73375,0.2902,0.286287406356181,2.63504283155528,13.7,411.1,41.11,1.37,3.3996,3.972,2.2464,2.7072,3.474,0.4212,14.015508775,0.1134115,34.9793663431326,71.9524148690816,2516.84987897866
W59,Early secondary,NE,142.157378198388,3.238,0.312229771463867,17.5530708333333,254.736,0.48515,0.281095280733172,3.09216406833297,9.2,403,40.3,0.92,12.8651612903226,5.26645161290323,3.55548387096774,0.452903225806452,1.23290322580645,0.383225806451613,14.015508775,0.1134115,51.0625203634653,53.1063251563252,2711.74280972366
W59,Early secondary,SW,45.0645744021138,4.782,0.17461313258051,32.573491902834,247.461234817814,0.26925,0.511644486692015,3.23764562876565,13.3,329.4,32.94,1.33,15.5805405405405,4.11405405405405,4.51621621621622,0.168648648648649,1.19513513513514,0.377837837837838,14.015508775,0.1134115,28.8706779438187,77.8680615164518,2248.10372615095
W59,Early secondary,SE,166.351209253417,7.799,0.19605077574048,39.2732884615385,365.549198717949,0.32795,0.285387606359582,2.76913554953514,12.2,444,44.4,1.22,3.5712,4.7928,1.902,1.6536,1.6188,0.3396,14.015508775,0.1134115,42.4236633406588,79.4703853272758,3371.42487267678
W60,Early secondary,C,29.4825819672131,7.383,0.258296085602059,43.0128558333333,324.561916666667,0.2666,0.302286462376886,2.79209328095141,12.5,463.7,46.37,1.25,3.6288,4.4412,1.9356,2.0952,2.0388,0.3828,32.973194375,0,43.2426311407161,72.235594864905,3123.65718397329
W60,Early secondary,NW,54.5729076790336,6.02,0.292691029900332,26.6615789473684,351.876315789474,0.4458,0.229746070133011,2.38447897591869,17.5,448.7,44.87,1.75,6.504,6.1944,3.1176,5.4516,3.3432,0.4656,32.973194375,0,29.8884263114071,83.1454037800689,2485.08527401278
W60,Early secondary,NE,54.8497267759563,5.882,0.204182250935056,32.7819829545455,304.709848484849,0.32215,0.284002394814494,3.86413701870979,9.1,406.8,40.68,0.91,15.5881188118812,2.63524752475247,4.87366336633663,0.538217821782178,1.72514851485148,0.36950495049505,32.973194375,0,52.1104208031768,54.4796489817793,2838.95743364988
W60,Early secondary,SW,40.2151639344262,4.382,0.452076677316294,46.5191,298.873958333333,0.2313,0.446250829462508,3.20628052941573,12.5,447,44.7,1.25,5.12910891089109,3.29465346534653,1.81069306930693,0.236435643564356,1.33069306930693,0.316039603960396,32.973194375,0,41.6852622814321,87.4946853741494,3647.2389080528
W60,Early secondary,SE,52.7127244340359,5.405,0.570212765957447,20.7215137844612,306.392857142857,0.49465,0.235798678325879,1.90804728661183,16.3,441.7,44.17,1.63,10.3044,4.5132,3.6432,2.3364,2.49,0.4644,32.973194375,0,31.588195930794,77.644118370862,2452.63762397255
WC1,Early secondary,C,40.3401855557577,4.051,0.213774376697112,23.3616407867495,311.270082815735,0.4469,0.245235582593581,2.23485454177839,13.7,431.6,43.16,1.37,6.5172,4.7112,2.862,0.2208,1.6944,0.3972,20.4780531561227,0,36.7236548618244,76.2999928067905,2802.01460179626
WC1,Early secondary,NW,16.0116557083084,3.889,0.159681151967087,21.7751404761905,263.257857142857,0.4243,0.327405558787805,2.6262922310785,12,422.5,42.25,1.2,9.50666666666667,6.18133333333333,3.78666666666667,0.212,1.21466666666667,0.438666666666667,20.4780531561227,0,41.0421870663336,60.5145462440297,2483.64932718176
WC1,Early secondary,NE,15.3541542139868,2.253,0.38393253439858,51.390077764977,357.601497695853,0.2485,0.379668883186211,2.34184863898716,13.4,371.7,37.17,1.34,7.19302325581396,5.0846511627907,2.59116279069767,0.265116279069767,1.52093023255814,0.424186046511628,20.4780531561227,0,32.3349944697827,69.8813988095238,2259.61464404663
WC1,Early secondary,SW,33.6638166272512,3.637,0.448171569975254,35.4763260869565,352.134782608696,0.34565,0.29557958641624,2.76432745673625,17.6,455.4,45.54,1.76,11.56,5.09217391304348,4.11652173913043,0.318260869565217,2.19652173913043,0.633043478260869,20.4780531561227,0,30.1623646960865,61.5024332810048,1855.0588223184
WC1,Early secondary,SE,18.4498904164176,2.414,0.326014913007456,47.3962938988095,353.656994047619,0.2632,0.394235370522286,2.69238415691826,11.8,405.5,40.55,1.18,4.7560396039604,3.36118811881188,2.4760396039604,0.238811881188119,0.773465346534653,0.418217821782178,20.4780531561227,0,40.0584258880312,62.4155269209959,2500.26775942713
W01,Mature secondary,C,79.5352697095436,3.492,0.194730813287514,16.8044385185185,211.765333333333,0.4284,0.277475276165066,4.35302912745288,14.9,412.8,41.28,1.49,3.74376237623762,4.32712871287129,2.68871287128713,1.42693069306931,1.26059405940594,0.367128712871287,22.81228235,0,32.2952349552108,89.780307058098,2899.47611079225
W01,Mature secondary,NW,31.367956096908,4.909,0.192707272356895,22.8575954664342,269.225174367916,0.4067,0.269213846879158,2.37956310488018,15,449,44.9,1.5,5.60119047619048,3.40714285714286,4.24761904761905,2.80952380952381,2.29285714285714,0.444047619047619,22.81228235,0,34.8931446017209,74.7265415549599,2607.44402006372
W01,Mature secondary,NE,27.7119146413752,0.387,0.0387596899224806,39.4563974867725,337.868121693122,0.3001,0.320033649964508,2.69111193071281,22.1,482.9,48.29,2.21,9.98787878787879,4.88080808080808,4.63838383838384,0.61010101010101,1.32121212121212,0.517171717171717,22.81228235,0,25.4712324947913,94.5302218191968,2407.80125774095
W01,Mature secondary,SW,42.8509681881051,2.73,0.0948717948717949,38.1315125,369.69625,0.34235,0.217424527414653,2.12667306840465,17.9,417.9,41.79,1.79,8.2718903036239,3.91733594515181,5.10910871694417,3.36611165523996,1.42683643486778,0.508912830558276,22.81228235,0,27.2147512082575,77.8077398823272,2117.51828297435
W01,Mature secondary,SE,84.3591516828031,1.396,0.316618911174785,16.3934615384615,247.768803418803,0.50285,0.226820775297869,4.03191465425913,15.6,411.9,41.19,1.56,8.10386521308226,3.83548067393459,4.23746283448959,3.47274529236868,1.19286422200198,0.645787908820615,22.81228235,0,30.7788381476975,53.4377124440936,1644.75070229996
W02,Mature secondary,C,45.1731832735034,1.188,0.0547138047138047,35.479669599218,330.540615835777,0.32025,0.339220959544897,2.05747127910096,21.4,515.8,51.58,2.14,NA,NA,NA,NA,NA,NA,18.978164875,0,28.0965239247667,NA,NA
